Period,Team,Player,Type,X,Y
1,Home,Pelletier,Goal,-29.96,-6.53
1,Away,Halverson,Save,-14.43,-21.10
1,Home,Geekie,Goal,34.48,-1.18
1,Home,Stachowiak,Goal,-32.26,-2.31
1,Away,Halverson,Goal,-31.65,-9.88
1,Home,Pelletier,Save,1.78,-21.36
1,Away,Halverson,Goal,-0.61,-21.62
1,Home,Abruzzese,Save,26.65,-8.75
1,Away,Fanti,Save,27.61,11.25
1,Home,Geekie,Save,28.48,-8.49
1,Home,Groshev,Goal,-28.78,14.99
1,Away,Halverson,Goal,-34.97,11.19	
1,Away,Halverson,Save,-28.00,-20.12
1,Home,Gauthier,Save,25.31,-13.75
1,Away,Halverson,Miss,22.23,25.93
1,Home,Chaffee,Save,25.14,-6.12
1,Away,Halverson,Goal,-17.83,10.85
1,Home,Geekie,Save,19.83,-11.44
1,Away,Halverson,Goal,25.83,19.59
1,Away,Halverson,Miss,-19.60,-0.58	
1,Home,Chaffee,Goal,27.08,18.19
1,Away,Halverson,Goal,28.11,14.62	
1,Away,Fanti,Save,28.46,-11.47	
1,Home,Peca,Save,10.57,-22.15	
1,Away,Halverson,Goal,-31.94,-6.98	
1,Home,Groshev,Save,22.57,-12.72	
1,Home,Pelletier,Miss,-24.52,25.25
1	Home	Duke	Miss	37.14	-0.92	
1,Away,Halverson,Save,29.31,4.59	
1,Home,Peca,Save,-24.40,-1.52	
1,Away,Halverson,Goal,-7.60,-23.47	
1,Away,Halverson,Miss,18.86,25.93

