Team,Player,League,Goalie (Don't Worry About this),Where Player Shot From on Ice,Where the shot went on goal,What move they made,Goal,Date
Crunch,Katchouk,NHL,Mackenzie Blackwood,"Faked from Left Slot, cut across to low right",Tucked into bottom right,"Fake shot, backhand deke",Yes,1/16/2024
Crunch,Katchouk,AHL,Clay Stevenson,"Faked from Left Slot, cut across to low right",WHIFFED on a tuck into bottom right,"Fake shot, backhand deke",No,3/12/2025
Crunch,Katchouk,AHL,Justus Annunen,"Fake Shot Left Slot, cut across low right",Tucked into bottom right,"Fake shot, backhand deke",Yes,9/23/2025
Crunch,D'Astous,SHL,Maxime Lagace,Gliding from left circle to middle slot,Low right pad,Simple low wrist shot,No,10/1/2024
Crunch,D'Astous,,,,,,,
Crunch,D'Astous,,,,,,,
Crunch,Groshev,AHL,Jet Greaves,Right slot,5-hole,Backhand shot,Yes,12/7/2024
Crunch,Groshev,AHL,Devon Levi,Gliding from right circle to middle slot,Top left over blocker,Quick forehand-backhand-forehand,Yes,3/1/2025
Crunch,Groshev,AHL,Matt Murray,Right slot,5-hole SAVED,Backhand shot ,No,4/5/2025
Crunch,Szturc,AHL,Matt Murray,"Middle slot, drifting left to right",5-hole,"Fake forehand, backhand 5-hole slide",Yes,4/5/2025
Crunch,Szturc,AHL,Devon Levi,Middle slot,Middle low (attempted 5-hole),Shimmy,No,3/1/2025
Crunch,Szturc,AHL,Jet Greaves,"Middle slot, drifting left to right",Middle chest,Forehand shot,No,12/7/2024
Crunch,Abruzzese,AHL,Dominic DiVincentiis,Left middle Slot,Middle right glove side,Toe and drag,Yes,3/1/2025
Crunch,Abruzzese,AHL,Brandon Halverson,Middle slot,5 hole SAVED,Forehand shot,No,4/5/2025
Crunch,Abruzzese,AHL,Leevi Merilainen,Low middle slot,5 hole SAVED,"Fake shot + leg kick, forehand slide on ice",No,3/29/2025
Crunch,Stachowiak,DEL,Joseph Cannata,,,,NO,10/22/2023
Crunch,Stachowiak,DEL,Dustin Stalheimer,Low middle slot (Per german news sources),,,YES,11/29/2022
Crunch,Stachowiak,DEL,Dustin Stalheimer,Low middle slot (Per german news sources),,,YES,11/29/2022
Crunch,Geekie,AHL,Devon Levi,Left Slot,Middle Glove Side,"No Move, Just Shot the Puck",Yes,
Crunch,Geekie,AHL,Matt Murray,Left Slot,Middle Glove Side,"No Move, Just Shot the Puck",No,
Crunch,Pelletier,QMHL,,Middle Slot ,5-Hole  ,Fake Shot,Yes,
Crunch,Pelletier,AHL,Spencer Martin,Lower Middle Slot,Blocker Side,Just Waited for Goalie to move with him,Yes,12/13/2025
Crunch,Geekie,AHL,Kaapo Kähkönen,Left Middle Slot,Middle right glove side,"No Move, Just Shot the Puck",Yes,12/27/2025
Crunch,Stachowiak,AHL,Kaapo Kähkönen,Middle Slot,Top Right Glove Side,Fake Shot Moved the Goalie Left,Yes,12/27/2025
Crunch,Pelletier,AHL,Kaapo Kähkönen,Middle Slot,5-Hole,"No Move, Just Shot the Puck",No,12/27/2025
Rockets,Davidson,AHL,Brandon Halverson,Left Slot,5-Hole,"No Move, Just Shot the Puck",No,12/27/2025
Rockets,Belzile,AHL,Brandon Halverson,Middle Lower Slot,5-Hole,"Fake Shot, Backhand Deke",Yes,12/27/2025
Rockets,Roy,AHL,Brandon Halverson,Middle Slot,Middle Blocker Side,"No Move, Just Shot the Puck",Yes,12/27/2025
Rockets,Farrell,AHL,Brandon Halverson,Right Slot,5-Hole,"No Move, Just Shot the Puck",Yes,12/27/2025
Crunch,Geekie,AHL,Devon Levi,Left Slot,Middle Right Glove,"No Move, Just Shot the Puck",No,1/19/2026
Crunch,Abruzzese,AHL,Devon Levi,Left Slot,Middle Right Glove,"No Move, Just Shot the Puck",No,1/19/2026
Crunch,Groshev,AHL,Devon Levi,Middle Slot, Middle Left Blocker Side, "Forehand Backhand Deke, Shot the Puck",Yes,1/19/2026
Americans,Rosen,AHL,Ryan Fanti,Right Slot, Top Right Glove,"No Move, Just Shot the Puck",No,1/19/2026
Americans,Meyer,AHL,Ryan Fanti,Right Slot, Top Right Glove (Missed Net High),"No Move, Just Shot the Puck",No,1/19/2026
Americans,Neuchev,AHL,Ryan Fanti,Right to Middle Slot,5-Hole/Glove Side(Lost Puck),"Fake Shot, Backhand Forehand Deke",No,1/19/2026






