a,g,ga,game_id,is_goalie,mins,number,pim,plus_minus,pos,shots,skater,svs,team_id,team_name,team_side
0,0,,1028032,0,0:00,7,2,1,D,2,Simon Lundmark,,324,Syracuse Crunch,home
0,0,,1028032,0,0:00,8,0,2,D,1,Tommy Miller,,324,Syracuse Crunch,home
0,0,,1028032,0,0:00,9,0,-1,C,3,Wojciech Stachowiak,,324,Syracuse Crunch,home
1,0,,1028032,0,0:00,11,0,1,RW,1,Lucas Mercuri,,324,Syracuse Crunch,home
0,0,,1028032,0,0:00,13,0,-1,LW,0,Brendan Furry,,324,Syracuse Crunch,home
0,0,,1028032,0,0:00,14,0,0,LW,0,Tristan Allard,,324,Syracuse Crunch,home
1,1,,1028032,0,0:00,21,0,1,RW,2,Mitchell Chaffee,,324,Syracuse Crunch,home
2,1,,1028032,0,0:00,22,0,2,LW,1,Jakob Pelletier,,324,Syracuse Crunch,home
0,0,,1028032,0,0:00,23,0,1,D,1,Maxim Groshev,,324,Syracuse Crunch,home
0,1,,1028032,0,0:00,25,2,0,LW,1,Dylan Duke,,324,Syracuse Crunch,home
0,1,,1028032,0,0:00,49,0,0,RW,3,Scott Sabourin,,324,Syracuse Crunch,home
0,0,,1028032,0,0:00,57,0,-1,D,1,Dyllan Gill,,324,Syracuse Crunch,home
1,0,,1028032,0,0:00,61,0,1,C,1,Boris Katchouk,,324,Syracuse Crunch,home
1,0,,1028032,0,0:00,75,0,1,D,1,Matteo Pietroniro,,324,Syracuse Crunch,home
1,1,,1028032,0,0:00,80,0,1,RW,3,Nick Abruzzese,,324,Syracuse Crunch,home
1,0,,1028032,0,0:00,94,0,2,C,1,Conor Geekie,,324,Syracuse Crunch,home
0,0,,1028032,0,0:00,95,0,0,C,1,Gabriel Szturc,,324,Syracuse Crunch,home
0,0,,1028032,0,0:00,96,0,0,D,1,Chris Harpur,,324,Syracuse Crunch,home
0,0,3,1028032,1,60:00,31,0,0,G,,Brandon Halverson,18,324,Syracuse Crunch,home
0,0,0,1028032,1,,59,0,0,G,,Ryan Fanti,0,324,Syracuse Crunch,home
0,0,,1028032,0,0:00,2,0,0,D,1,Calle Odelius,,317,Bridgeport Islanders,away
0,0,,1028032,0,0:00,3,0,0,D,0,Cole McWard,,317,Bridgeport Islanders,away
0,0,,1028032,0,0:00,10,10,1,D,1,Travis Mitchell,,317,Bridgeport Islanders,away
0,0,,1028032,0,0:00,11,0,0,F,0,Daylan Kuefler,,317,Bridgeport Islanders,away
1,0,,1028032,0,0:00,12,0,-1,F,2,Marc Gatcomb,,317,Bridgeport Islanders,away
0,1,,1028032,0,0:00,14,0,1,F,2,Cam Berg,,317,Bridgeport Islanders,away
0,0,,1028032,0,0:00,15,0,0,F,0,Cam Thiesing,,317,Bridgeport Islanders,away
2,0,,1028032,0,0:00,16,2,-1,F,0,Alex Jefferies,,317,Bridgeport Islanders,away
0,0,,1028032,0,0:00,17,0,-1,F,2,Joey Larson,,317,Bridgeport Islanders,away
0,0,,1028032,0,0:00,18,0,-1,F,2,Matthew Maggio,,317,Bridgeport Islanders,away
0,1,,1028032,0,0:00,20,0,-1,C,2,Matthew Highmore,,317,Bridgeport Islanders,away
0,0,,1028032,0,0:00,24,0,-2,D,1,Luke Rowe,,317,Bridgeport Islanders,away
2,0,,1028032,0,0:00,25,0,-2,F,3,Chris Terry,,317,Bridgeport Islanders,away
0,0,,1028032,0,0:00,27,0,-3,D,1,Jesse Pulkkinen,,317,Bridgeport Islanders,away
0,0,,1028032,0,0:00,28,2,0,F,0,Gleb Veremyev,,317,Bridgeport Islanders,away
0,0,,1028032,0,0:00,34,0,0,LW,2,Adam Beckman,,317,Bridgeport Islanders,away
0,1,,1028032,0,0:00,36,0,-1,RW,2,Hunter Drew,,317,Bridgeport Islanders,away
0,0,,1028032,0,0:00,47,0,0,D,0,Sean Day,,317,Bridgeport Islanders,away
0,0,0,1028032,1,,1,0,0,G,,Marcus Högberg,0,317,Bridgeport Islanders,away
0,0,4,1028032,1,59:12,39,0,0,G,,Parker Gahagen,19,317,Bridgeport Islanders,away
