Player name,Total Face Off Wins,Total Face Off Taken,Total Face Off Win Percentage,Total OZ Strong Side Win Percentage,Total OZ Strong Side Win Percentage vs Lefties,Total OZ Strong Side Win Percentage vs Righties,Total OZ Weak Side Win Percentage,Total OZ Weak Side Win Percentage vs Lefties,Total OZ Weak Side Win Percentage vs Righties,NZ Face Off Win Percentage,Total DZ Strong Side Win Percentage,Total DZ Strong Side Win Percentage vs Lefties,Total DZ Strong Side Win Percentage vs Righties,Total DZ Weak Side Win Percentage,Total DZ Weak Side Win Percentage vs Lefties,Total DZ Weak Side Win Percentage vs Righties
Jarred Tinordi,0,0,,,,,,,,,,,,,,
Scott Sabourin,3,5,0.6,1.0,1.0,,,,,0.5,0.0,0.0,,,,
Jon Gillies,0,0,,,,,,,,,,,,,,
Steven Santini,0,0,,,,,,,,,,,,,,
Matthew Peca,473,903,0.5238095238095238,0.5667870036101083,0.5968992248062015,0.5405405405405406,0.4487179487179487,0.4418604651162791,0.4571428571428571,0.522633744855967,0.5696969696969697,0.6444444444444445,0.5416666666666666,0.4285714285714285,0.3679245283018867,0.6176470588235294
Brandon Halverson,0,0,,,,,,,,,,,,,,
Kevin Mandolese,0,0,,,,,,,,,,,,,,
Tommy Miller,0,0,,,,,,,,,,,,,,
Curtis Douglas,4,6,0.6666666666666666,,,,,,,0.6666666666666666,0.5,,0.5,1.0,,1.0
Mitchell Chaffee,59,140,0.4214285714285714,0.4827586206896552,0.4375,0.5384615384615384,0.5,0.2,0.7142857142857143,0.4615384615384615,0.360655737704918,0.3333333333333333,0.4615384615384615,0.4166666666666667,0.6,0.2857142857142857
Matteo Pietroniro,0,0,,,,,,,,,,,,,,
Charle-Edouard D'Astous,0,0,,,,,,,,,,,,,,
Simon Lundmark,0,0,,,,,,,,,,,,,,
Brendan Furry,60,124,0.4838709677419355,0.5185185185185185,0.5384615384615384,0.5,0.3,0.0,0.3333333333333333,0.6,0.4285714285714285,0.625,0.3823529411764705,0.5,0.5714285714285714,0.3333333333333333
Reece Newkirk,13,28,0.4642857142857143,0.5714285714285714,1.0,0.5,0.0,,0.0,0.5833333333333334,0.0,0.0,0.0,1.0,1.0,1.0
Jack Finley,25,47,0.5319148936170213,0.4,0.4,0.4,0.6666666666666666,0.5,1.0,0.5,0.6470588235294118,0.6666666666666666,0.625,0.4,0.0,0.5
Ian Mitchell,0,0,,,,,,,,,,,,,,
Declan Carlile,0,1,0.0,,,,,,,,0.0,,0.0,,,
Dominic James,25,46,0.5434782608695652,0.5384615384615384,0.8,0.375,0.5,1.0,0.0,0.7222222222222222,0.4,0.6666666666666666,0.0,0.1666666666666666,0.25,0.0
Maxim Groshev,0,0,,,,,,,,,,,,,,
Spencer Kersten,0,0,,,,,,,,,,,,,,
Jakob Pelletier,12,28,0.4285714285714285,0.1428571428571428,0.3333333333333333,0.0,0.6666666666666666,0.6,1.0,0.5454545454545454,0.3333333333333333,1.0,0.0,0.0,0.0,
Nicholas Abruzzese,7,20,0.35,0.6,0.8,0.4,0.0,0.0,0.0,0.0,0.3333333333333333,,0.3333333333333333,,,
Ethan Samson,0,0,,,,,,,,,,,,,,
Conor Geekie,411,849,0.4840989399293286,0.5683453237410072,0.5652173913043478,0.5698924731182796,0.4430379746835443,0.4736842105263157,0.4146341463414634,0.4419642857142857,0.4402985074626865,0.5454545454545454,0.4059405940594059,0.4477611940298507,0.4509803921568627,0.4375
Dylan Duke,7,12,0.5833333333333334,0.6,1.0,0.0,,,,0.4,1.0,1.0,,,,
Milo Roelens,33,78,0.4230769230769231,0.3157894736842105,0.4285714285714285,0.25,0.25,0.2857142857142857,0.0,0.5185185185185185,0.4285714285714285,0.6,0.3333333333333333,0.5,0.625,0.0
Niko Huuhtanen,0,1,0.0,,,,,,,,0.0,0.0,,,,
Lucas Mercuri,330,609,0.541871921182266,0.5357142857142857,0.5306122448979592,0.5428571428571428,0.5714285714285714,0.5714285714285714,0.5714285714285714,0.5283018867924528,0.5555555555555556,0.5714285714285714,0.5121951219512195,0.5636363636363636,0.5384615384615384,0.5714285714285714
Tristan Allard,78,159,0.490566037735849,0.3928571428571428,0.5,0.3333333333333333,0.5,0.5555555555555556,0.4285714285714285,0.5161290322580645,0.4736842105263157,0.6666666666666666,0.4137931034482758,0.6,0.6153846153846154,0.5
Dyllan Gill,0,0,,,,,,,,,,,,,,
Gabriel Szturc,214,411,0.5206812652068127,0.532608695652174,0.7,0.4516129032258064,0.3809523809523809,0.25,0.5555555555555556,0.5432098765432098,0.5952380952380952,0.6363636363636364,0.5806451612903226,0.3653846153846153,0.3902439024390244,0.2727272727272727
Cooper Flinton,7,17,0.4117647058823529,0.0,0.0,0.0,0.5,0.0,1.0,0.3333333333333333,0.5,,0.5,0.6666666666666666,0.6666666666666666,
Ethan Gauthier,7,13,0.5384615384615384,0.3333333333333333,0.0,0.5,0.5,,0.5,0.75,0.3333333333333333,,0.3333333333333333,1.0,1.0,
Ryan Fanti,0,0,,,,,,,,,,,,,,
Chris Harpur,0,0,,,,,,,,,,,,,,
